|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
| 3600       | 5     | 6.0311          |
| 4900       | 5     | 10.7770         |
| 6400       | 5     | 18.4961         |
| 8100       | 5     | 29.9517         |
| 10000      | 5     | 46.1252         |
| 12100      | 5     | 68.6434         |
| 14400      | 5     | 97.8778         |
| 16900      | 5     | 137.1327        |
| 400        | 6     | 0.2634          |
| 900        | 6     | 0.4852          |
| 1600       | 6     | 1.2210          |
| 2500       | 6     | 2.8256          |
| 3600       | 6     | 5.6927          |
| 4900       | 6     | 10.2151         |
| 6400       | 6     | 17.6001         |
| 8100       | 6     | 28.3943         |
| 10000      | 6     | 44.0679         |
| 12100      | 6     | 65.0038         |
| 14400      | 6     | 93.0404         |
| 16900      | 6     | 135.5739        |
| 400        | 7     | 0.2918          |
| 900        | 7     | 0.4558          |
| 1600       | 7     | 1.1338          |
| 2500       | 7     | 2.8505          |
| 3600       | 7     | 5.6780          |
| 4900       | 7     | 10.0124         |
| 6400       | 7     | 17.3959         |
| 8100       | 7     | 27.7180         |
| 10000      | 7     | 42.2270         |
| 12100      | 7     | 61.9417         |
| 14400      | 7     | 93.4845         |
| 16900      | 7     | 130.4383        |
| 400        | 8     | 0.2745          |
| 900        | 8     | 0.4982          |
| 1600       | 8     | 1.1255          |
| 2500       | 8     | 2.5289          |
| 3600       | 8     | 5.3282          |
| 4900       | 8     | 9.4229          |
| 6400       | 8     | 16.1657         |
| 8100       | 8     | 25.8308         |
| 10000      | 8     | 41.5358         |
| 12100      | 8     | 63.3390         |
| 14400      | 8     | 92.5920         |
| 16900      | 8     | 156.1538        |
| 400        | 9     | 0.2989          |
| 900        | 9     | 0.4519          |
| 1600       | 9     | 1.0715          |
| 2500       | 9     | 2.4927          |
| 3600       | 9     | 5.1263          |
| 4900       | 9     | 9.0469          |
| 6400       | 9     | 15.2684         |
| 8100       | 9     | 25.5449         |
| 10000      | 9     | 40.8099         |
| 12100      | 9     | 65.3726         |
| 14400      | 9     | 101.3633        |
| 16900      | 9     | 321.2959        |
| 400        | 10    | 1.5757          |
| 900        | 10    | 0.4824          |
| 1600       | 10    | 1.0340          |
| 2500       | 10    | 2.1151          |
| 3600       | 10    | 4.2534          |
| 4900       | 10    | 7.6807          |
| 6400       | 10    | 13.1605         |
| 8100       | 10    | 21.9391         |
| 10000      | 10    | 35.0392         |
| 12100      | 10    | 60.9658         |
| 14400      | 10    | 231.6711        |
| 16900      | 10    | 318.0866        |
|--------------------------------------|
