|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
| 3600       | 3     | 6.2905          |
| 4900       | 3     | 11.5612         |
| 6400       | 3     | 20.2101         |
| 8100       | 3     | 32.7237         |
| 10000      | 3     | 50.7378         |
| 12100      | 3     | 75.2232         |
| 14400      | 3     | 106.4525        |
| 16900      | 3     | 150.6158        |
| 400        | 4     | 0.9634          |
| 900        | 4     | 0.5368          |
| 1600       | 4     | 1.4007          |
| 2500       | 4     | 2.7187          |
| 3600       | 4     | 5.7692          |
| 4900       | 4     | 10.0123         |
| 6400       | 4     | 17.0123         |
| 8100       | 4     | 28.1054         |
| 10000      | 4     | 42.6416         |
| 12100      | 4     | 64.0723         |
| 14400      | 4     | 91.3130         |
| 16900      | 4     | 125.6505        |
| 400        | 5     | 1.0832          |
| 900        | 5     | 0.4158          |
| 1600       | 5     | 1.0038          |
| 2500       | 5     | 2.1481          |
| 3600       | 5     | 4.1951          |
| 4900       | 5     | 7.5318          |
| 6400       | 5     | 13.0495         |
| 8100       | 5     | 21.2291         |
| 10000      | 5     | 32.9820         |
| 12100      | 5     | 48.7024         |
| 14400      | 5     | 69.4175         |
| 16900      | 5     | 97.6705         |
| 400        | 6     | 1.0236          |
| 900        | 6     | 0.3337          |
| 1600       | 6     | 0.8909          |
| 2500       | 6     | 1.8888          |
| 3600       | 6     | 3.6929          |
| 4900       | 6     | 6.6869          |
| 6400       | 6     | 11.2647         |
| 8100       | 6     | 18.2043         |
| 10000      | 6     | 28.3771         |
| 12100      | 6     | 42.2365         |
| 14400      | 6     | 60.2954         |
| 16900      | 6     | 84.1862         |
| 400        | 7     | 1.2650          |
| 900        | 7     | 0.3865          |
| 1600       | 7     | 0.8741          |
| 2500       | 7     | 1.7716          |
| 3600       | 7     | 3.4956          |
| 4900       | 7     | 5.9080          |
| 6400       | 7     | 10.2667         |
| 8100       | 7     | 16.4062         |
| 10000      | 7     | 25.1115         |
| 12100      | 7     | 36.6421         |
| 14400      | 7     | 55.2186         |
| 16900      | 7     | 312.6075        |
| 400        | 8     | 1.0355          |
| 900        | 8     | 0.5126          |
| 1600       | 8     | 0.8158          |
| 2500       | 8     | 1.6649          |
| 3600       | 8     | 3.3785          |
| 4900       | 8     | 5.6411          |
| 6400       | 8     | 9.5201          |
| 8100       | 8     | 14.8287         |
| 10000      | 8     | 22.6608         |
| 12100      | 8     | 33.2954         |
| 14400      | 8     | 226.4995        |
| 16900      | 8     | 308.4176        |
| 400        | 9     | 1.5248          |
| 900        | 9     | 0.3822          |
| 1600       | 9     | 0.9057          |
| 2500       | 9     | 1.6146          |
| 3600       | 9     | 3.0115          |
| 4900       | 9     | 5.1718          |
| 6400       | 9     | 8.8526          |
| 8100       | 9     | 13.5105         |
| 10000      | 9     | 21.9190         |
| 12100      | 9     | 42.2144         |
| 14400      | 9     | 216.2593        |
| 16900      | 9     | 295.8166        |
| 400        | 10    | 1.0201          |
| 900        | 10    | 0.4716          |
| 1600       | 10    | 0.8433          |
| 2500       | 10    | 1.7134          |
| 3600       | 10    | 3.1238          |
| 4900       | 10    | 5.1760          |
| 6400       | 10    | 8.3659          |
| 8100       | 10    | 12.7158         |
