|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
| 3600       | 7     | 8.2944          |
| 4900       | 7     | 15.6848         |
| 6400       | 7     | 109.8238        |
| 8100       | 7     | 170.6734        |
| 10000      | 7     | 256.6275        |
| 12100      | 7     | 365.0380        |
| 14400      | 7     | 545.6156        |
| 16900      | 7     | 793.3919        |
| 400        | 8     | 0.5340          |
| 900        | 8     | 1.1113          |
| 1600       | 8     | 2.9403          |
| 2500       | 8     | 4.7874          |
| 3600       | 8     | 9.6733          |
| 4900       | 8     | 21.3286         |
| 6400       | 8     | 113.3267        |
| 8100       | 8     | 171.8482        |
| 10000      | 8     | 249.0624        |
| 12100      | 8     | 377.0188        |
| 14400      | 8     | 544.5787        |
| 16900      | 8     | 726.5280        |
|--------------------------------------|
